id,name,type,party
ul,Ursula von der Leyen,1,CDU
lk,Lars Klingbeil,1,SPD
nr,Norbert Roettgen,1,CDU
sw,Sahra Wagenknecht,1,Linke
cs,Constanze Stelzenmueller,1
cl,Christian Lindner,1,FDP
ks,Karl Schloegel,1
lm,Ljudmyla Melnyk,1
kd,Kristina Dunz,1
el,Eglis Levtis,1
ab,Annalena Baerbock,1,B90
ft,Frans Timmermans,1
am,Andrij Melnyk,1
agl,Alexander Graf Lambsdorff,1,FDP
er,Egon Ramms,1
rh,Robert Habeck,1,B90
cm,Claudia Major,1
kp,Katja Petrowskaja,1
rk,Roderich Kiesewetter,1,CDU
500,Folge 500,2
501,Folge 501,2
502,Folge 502,2
503,Folge 503,2
CDU,Christliche Demokratische Partei,2,CDU
SPD,Sozialdemokratische Partei,2,SPD
Linke,Die Linke,2,Linke
FDP,Freie Demokratische Partei,2,FDP
B90,Buendnis90 / Die Gruenen,2,B90
